mA,ma,sintheta,tanbeta,xsec
200.00,10.00,0.70,35.00,0.96269270
200.00,50.00,0.70,35.00,0.70167730
200.00,100.00,0.70,35.00,0.54689120
200.00,150.00,0.70,35.00,0.44775580
200.00,200.00,0.70,35.00,0.00000419
200.00,250.00,0.70,35.00,0.28944280
200.00,300.00,0.70,35.00,0.24772750
200.00,350.00,0.70,35.00,0.19222940
200.00,400.00,0.70,35.00,0.17960050
200.00,450.00,0.70,35.00,0.17841980
200.00,500.00,0.70,35.00,0.18209720
200.00,550.00,0.70,35.00,0.18460560
200.00,600.00,0.70,35.00,0.17770570
400.00,10.00,0.70,35.00,0.90615770
400.00,50.00,0.70,35.00,0.63796590
400.00,100.00,0.70,35.00,0.43888100
400.00,150.00,0.70,35.00,0.31843340
400.00,200.00,0.70,35.00,0.21154210
400.00,250.00,0.70,35.00,0.15665070
400.00,300.00,0.70,35.00,0.11638070
400.00,350.00,0.70,35.00,0.08372599
400.00,400.00,0.70,35.00,0.00000087
400.00,450.00,0.70,35.00,0.05651845
400.00,500.00,0.70,35.00,0.05561597
400.00,550.00,0.70,35.00,0.04969961
400.00,600.00,0.70,35.00,0.04398104
600.00,10.00,0.70,35.00,0.91607030
600.00,50.00,0.70,35.00,0.63023340
600.00,100.00,0.70,35.00,0.42974360
600.00,150.00,0.70,35.00,0.28088230
600.00,200.00,0.70,35.00,0.18766640
600.00,250.00,0.70,35.00,0.12638520
600.00,300.00,0.70,35.00,0.08822524
600.00,350.00,0.70,35.00,0.06326881
600.00,400.00,0.70,35.00,0.04772379
600.00,450.00,0.70,35.00,0.03593089
600.00,500.00,0.70,35.00,0.02767473
600.00,550.00,0.70,35.00,0.01859295
600.00,600.00,0.70,35.00,0.00000024
800.00,10.00,0.70,35.00,0.91925380
800.00,50.00,0.70,35.00,0.62819950
800.00,100.00,0.70,35.00,0.43267440
800.00,150.00,0.70,35.00,0.28010530
800.00,200.00,0.70,35.00,0.18053950
800.00,250.00,0.70,35.00,0.12316880
800.00,300.00,0.70,35.00,0.08215717
800.00,350.00,0.70,35.00,0.05683643
800.00,400.00,0.70,35.00,0.04057346
800.00,450.00,0.70,35.00,0.02927150
800.00,500.00,0.70,35.00,0.02152292
800.00,550.00,0.70,35.00,0.01661396
800.00,600.00,0.70,35.00,0.01324425
1200.00,10.00,0.70,35.00,0.91559430
1200.00,50.00,0.70,35.00,0.61462760
1200.00,100.00,0.70,35.00,0.40955760
1200.00,150.00,0.70,35.00,0.28437430
1200.00,200.00,0.70,35.00,0.18072100
1200.00,250.00,0.70,35.00,0.11760370
1200.00,300.00,0.70,35.00,0.07947830
1200.00,350.00,0.70,35.00,0.05516102
1200.00,400.00,0.70,35.00,0.03703799
1200.00,450.00,0.70,35.00,0.02688780
1200.00,500.00,0.70,35.00,0.01907766
1200.00,550.00,0.70,35.00,0.01369393
1200.00,600.00,0.70,35.00,0.01049178
2400.00,10.00,0.70,35.00,0.90857700
2400.00,50.00,0.70,35.00,0.61179680
2400.00,100.00,0.70,35.00,0.41426220
2400.00,150.00,0.70,35.00,0.28306510
2400.00,200.00,0.70,35.00,0.18129860
2400.00,250.00,0.70,35.00,0.11836130
2400.00,300.00,0.70,35.00,0.07745611
2400.00,350.00,0.70,35.00,0.05481646
2400.00,400.00,0.70,35.00,0.03728589
2400.00,450.00,0.70,35.00,0.02645102
2400.00,500.00,0.70,35.00,0.01899438
2400.00,550.00,0.70,35.00,0.01394540
2400.00,600.00,0.70,35.00,0.01031716
1400.00,10.00,0.70,35.00,0.92096780
1400.00,50.00,0.70,35.00,0.63181430
1400.00,100.00,0.70,35.00,0.40541190
1400.00,150.00,0.70,35.00,0.28351930
1400.00,200.00,0.70,35.00,0.18393620
1400.00,250.00,0.70,35.00,0.11965290
1400.00,300.00,0.70,35.00,0.07909071
1400.00,350.00,0.70,35.00,0.05456937
1400.00,400.00,0.70,35.00,0.03824256
1400.00,450.00,0.70,35.00,0.02682938
1400.00,500.00,0.70,35.00,0.01864658
1400.00,550.00,0.70,35.00,0.01392392
1400.00,600.00,0.70,35.00,0.01025943
1600.00,10.00,0.70,35.00,0.91035300
1600.00,50.00,0.70,35.00,0.62346660
1600.00,100.00,0.70,35.00,0.42476830
1600.00,150.00,0.70,35.00,0.27715450
1600.00,200.00,0.70,35.00,0.17558490
1600.00,250.00,0.70,35.00,0.11936470
1600.00,300.00,0.70,35.00,0.07832380
1600.00,350.00,0.70,35.00,0.05519735
1600.00,400.00,0.70,35.00,0.03742230
1600.00,450.00,0.70,35.00,0.02669467
1600.00,500.00,0.70,35.00,0.01909060
1600.00,550.00,0.70,35.00,0.01413741
1600.00,600.00,0.70,35.00,0.01017878
1800.00,10.00,0.70,35.00,0.92467350
1800.00,50.00,0.70,35.00,0.65454610
1800.00,100.00,0.70,35.00,0.42210240
1800.00,150.00,0.70,35.00,0.27582760
1800.00,200.00,0.70,35.00,0.17410780
1800.00,250.00,0.70,35.00,0.11541990
1800.00,300.00,0.70,35.00,0.07895289
1800.00,350.00,0.70,35.00,0.05427265
1800.00,400.00,0.70,35.00,0.03751017
1800.00,450.00,0.70,35.00,0.02695921
1800.00,500.00,0.70,35.00,0.01898049
1800.00,550.00,0.70,35.00,0.01395808
1800.00,600.00,0.70,35.00,0.01007807
2000.00,10.00,0.70,35.00,0.91805430
2000.00,50.00,0.70,35.00,0.64155010
2000.00,100.00,0.70,35.00,0.42114490
2000.00,150.00,0.70,35.00,0.27717620
2000.00,200.00,0.70,35.00,0.18222650
2000.00,250.00,0.70,35.00,0.12050880
2000.00,300.00,0.70,35.00,0.07904353
2000.00,350.00,0.70,35.00,0.05482992
2000.00,400.00,0.70,35.00,0.03622177
2000.00,450.00,0.70,35.00,0.02654063
2000.00,500.00,0.70,35.00,0.01913441
2000.00,550.00,0.70,35.00,0.01423117
2000.00,600.00,0.70,35.00,0.01000482
2200.00,10.00,0.70,35.00,0.89691270
2200.00,50.00,0.70,35.00,0.64992140
2200.00,100.00,0.70,35.00,0.42558440
2200.00,150.00,0.70,35.00,0.27077660
2200.00,200.00,0.70,35.00,0.17571710
2200.00,250.00,0.70,35.00,0.11688420
2200.00,300.00,0.70,35.00,0.07933414
2200.00,350.00,0.70,35.00,0.05279411
2200.00,400.00,0.70,35.00,0.03765086
2200.00,450.00,0.70,35.00,0.02667253
2200.00,500.00,0.70,35.00,0.01875810
2200.00,550.00,0.70,35.00,0.01386446
2200.00,600.00,0.70,35.00,0.01012365
