mA,ma,sintheta,tanbeta,xsec
600,10,0.10,35,0.0581337400461467
600,50,0.10,35,0.0354462364028003
600,100,0.10,35,0.0235502108013468
600,150,0.10,35,0.015515
600,200,0.10,35,0.0101984977643047
600,250,0.10,35,0.00677550706319703
600,300,0.10,35,0.004609
600,350,0.10,35,0.003328
600,400,0.10,35,0.002391
600,450,0.10,35,0.00176011571356531
600,500,0.10,35,0.00130246530272597
600,10,0.20,35,0.222194248823258
600,50,0.20,35,0.136591779213786
600,100,0.20,35,0.0904398633804714
600,150,0.20,35,0.059503
600,200,0.20,35,0.0389941706707086
600,250,0.20,35,0.025838966394052
600,300,0.20,35,0.0177559908009092
600,350,0.20,35,0.012697
600,400,0.20,35,0.009176
600,450,0.20,35,0.006779
600,500,0.20,35,0.004986
600,10,0.30,35,0.46640783276419
600,50,0.30,35,0.286468974259559
600,100,0.30,35,0.189157832242424
600,150,0.30,35,0.123209453532893
600,200,0.30,35,0.0809113103448275
600,250,0.30,35,0.0539844734944238
600,300,0.30,35,0.036949075651825
600,350,0.30,35,0.026684
600,400,0.30,35,0.0191101685408761
600,450,0.30,35,0.014187
600,500,0.30,35,0.010501
600,10,0.40,35,0.7385276
600,50,0.40,35,0.455542424124934
600,100,0.40,35,0.299275925656566
600,150,0.40,35,0.197932
600,200,0.40,35,0.129325762788935
600,250,0.40,35,0.0862960860594795
600,300,0.40,35,0.058986
600,350,0.40,35,0.042177
600,400,0.40,35,0.030603
600,450,0.40,35,0.022826
600,500,0.40,35,0.017020
600,10,0.50,35,0.998850333733271
600,50,0.50,35,0.613443187506733
600,100,0.50,35,0.405565241750842
600,150,0.50,35,0.267004
600,200,0.50,35,0.175299848427435
600,250,0.50,35,0.115801695910781
600,300,0.50,35,0.079707
600,350,0.50,35,0.057716
600,400,0.50,35,0.041498
600,450,0.50,35,0.031151
600,500,0.50,35,0.023291
600,10,0.60,35,1.17332747318874
600,50,0.60,35,0.725305170059237
600,100,0.60,35,0.47839325952862
600,150,0.60,35,0.312173
600,200,0.60,35,0.207692697233801
600,250,0.60,35,0.136973779182156
600,300,0.60,35,0.094325
600,350,0.60,35,0.068197
600,400,0.60,35,0.049714
600,450,0.60,35,0.037273
600,500,0.60,35,0.028268
600,10,0.70,35,1.22113015209968
600,50,0.70,35,0.746973046634358
600,100,0.70,35,0.497478012121212
600,150,0.70,35,0.326430
600,200,0.70,35,0.213814344827586
600,250,0.70,35,0.143147726022305
600,300,0.70,35,0.097777
600,350,0.70,35,0.070852
600,400,0.70,35,0.052021
600,450,0.70,35,0.039146
600,500,0.70,35,0.029864
600,10,0.80,35,1.07048318431011
600,50,0.80,35,0.658078831448574
600,100,0.80,35,0.431550861683502
600,150,0.80,35,0.285429
600,200,0.80,35,0.188567561955286
600,250,0.80,35,0.125395307806691
600,300,0.80,35,0.086285
600,350,0.80,35,0.062931
600,400,0.80,35,0.046151
600,450,0.80,35,0.035366
600,500,0.80,35,0.027084
600,10,0.90,35,0.669559809690816
600,50,0.90,35,0.417256415078084
600,100,0.90,35,0.275042097239057
600,150,0.90,35,0.180573
600,200,0.90,35,0.119143486169003
600,250,0.90,35,0.0803433644609665
600,300,0.90,35,0.055161
600,350,0.90,35,0.040477
600,400,0.90,35,0.030058
600,450,0.90,35,0.0231127107413011
600,500,0.90,35,0.017880
