mA,ma,mchi,sintheta,tanbeta,xsec
10,150,1,0.7,1,0.002559492
50,150,1,0.7,1,0.002079612
100,150,1,0.7,1,0.001641128
150,150,1,0.7,1,5.06808E-07
200,150,1,0.7,1,0.001049804
250,150,1,0.7,1,0.000895799
300,150,1,0.7,1,0.000788352
350,150,1,0.7,1,0.000696296
400,150,1,0.7,1,0.000666648
450,150,1,0.7,1,0.000640097
500,150,1,0.7,1,0.000644788
550,150,1,0.7,1,0.000628558
700,150,1,0.7,1,0.000622804
1000,150,1,0.7,1,0.000633025
1300,150,1,0.7,1,0.000622199
1500,150,1,0.7,1,0.00061383
1700,150,1,0.7,1,0.000625603
1950,150,1,0.7,1,0.00061083
10,150,1,0.7,5,0.04978386
50,150,1,0.7,5,0.03468185
100,150,1,0.7,5,0.03862248
150,150,1,0.7,5,1.11305E-05
200,150,1,0.7,5,0.02572982
250,150,1,0.7,5,0.02200045
300,150,1,0.7,5,0.01924774
350,150,1,0.7,5,0.01769355
400,150,1,0.7,5,0.01647106
450,150,1,0.7,5,0.01599754
500,150,1,0.7,5,0.01599223
550,150,1,0.7,5,0.0156697
700,150,1,0.7,5,0.01552641
1000,150,1,0.7,5,0.01481247
1300,150,1,0.7,5,0.01509332
1500,150,1,0.7,5,0.01507488
1700,150,1,0.7,5,0.01469693
1950,150,1,0.7,5,0.01528517
10,150,1,0.7,10,0.1832574
50,150,1,0.7,10,0.1275397
100,150,1,0.7,10,0.1400521
150,150,1,0.7,10,2.86512E-05
200,150,1,0.7,10,0.09356007
250,150,1,0.7,10,0.08234815
300,150,1,0.7,10,0.07155823
350,150,1,0.7,10,0.06465095
400,150,1,0.7,10,0.06058692
450,150,1,0.7,10,0.0587573
500,150,1,0.7,10,0.05901411
550,150,1,0.7,10,0.05659031
700,150,1,0.7,10,0.05601385
1000,150,1,0.7,10,0.05553553
1300,150,1,0.7,10,0.05681055
1500,150,1,0.7,10,0.05442841
1700,150,1,0.7,10,0.05498782
1950,150,1,0.7,10,0.05557876
10,150,1,0.7,15,0.3657822
50,150,1,0.7,15,0.2617278
100,150,1,0.7,15,0.2739528
150,150,1,0.7,15,3.18255E-05
200,150,1,0.7,15,0.1884616
250,150,1,0.7,15,0.1617222
300,150,1,0.7,15,0.1416185
350,150,1,0.7,15,0.1322945
400,150,1,0.7,15,0.1242594
450,150,1,0.7,15,0.117099
500,150,1,0.7,15,0.1109748
550,150,1,0.7,15,0.1131338
700,150,1,0.7,15,0.109813
1000,150,1,0.7,15,0.1092123
1300,150,1,0.7,15,0.1114428
1500,150,1,0.7,15,0.1099745
1700,150,1,0.7,15,0.1112054
1950,150,1,0.7,15,0.1075549
10,150,1,0.7,20,0.5662148
50,150,1,0.7,20,0.3931994
100,150,1,0.7,20,0.4078227
150,150,1,0.7,20,1.91631E-05
200,150,1,0.7,20,0.2905948
250,150,1,0.7,20,0.2498613
300,150,1,0.7,20,0.223773
350,150,1,0.7,20,0.1990902
400,150,1,0.7,20,0.1923774
450,150,1,0.7,20,0.1828208
500,150,1,0.7,20,0.1706927
550,150,1,0.7,20,0.166996
